X,Y,Z,dx,dy,dz,formation,group,type,ref_fault3,ref_fault4
454579.56,6782074,-5627.645,0.5062025,-0.28335822,0.8145349,fault3,fault3,fault,nan,nan
454338.4,6782244,-5376.1533,0.5544006,0.08128753,0.8282706,fault3,fault3,fault,nan,nan
454820.88,6782277,-5688.905,0.36691332,0.31315067,0.87596303,fault3,fault3,fault,nan,nan
454598.1,6782482,-5659.863,0.57297957,-0.05731725,0.81756294,fault3,fault3,fault,nan,nan
454803.4,6782382.5,-5835.7207,0.2778048,0.12677045,0.9522362,fault3,fault3,fault,nan,nan
454746.47,6782549.5,-5675.5166,0.4380298,-0.28271577,0.8533474,fault3,fault3,fault,nan,nan
454936.5,6782729.5,-5794.6543,0.59678274,-0.1417331,0.7897861,fault3,fault3,fault,nan,nan
454562.5,6783137,-5585.762,0.3098132,0.6887807,0.6554364,fault3,fault3,fault,nan,nan
454053.7,6783334,-5469.032,0.55832535,0.16985701,0.8120476,fault3,fault3,fault,nan,nan
454413.97,6783275,-5756.4873,0.6251611,0.4778636,0.6171061,fault3,fault3,fault,nan,nan
454360,6783361.5,-5692.652,0.7190608,0.28293133,0.63474524,fault3,fault3,fault,nan,nan
455010.28,6783235.5,-6236.743,0.5661114,0.6854087,0.457966,fault3,fault3,fault,nan,nan
455204.8,6783376,-6516.244,0.6090897,0.31376618,0.7283959,fault3,fault3,fault,nan,nan
454891.4,6783382.5,-6263.77,0.6953312,0.3483006,0.6286503,fault3,fault3,fault,nan,nan
454562.84,6783490,-6015.3594,0.74322456,-0.13561746,0.6551528,fault3,fault3,fault,nan,nan
454834.34,6783582,-6161.292,0.6344013,-0.2803394,0.72037816,fault3,fault3,fault,nan,nan
454699.7,6783786.5,-5931.901,0.6742407,-0.28700095,0.680463,fault3,fault3,fault,nan,nan
454863.75,6783682,-6107.508,0.65650964,-0.40249804,0.63795805,fault3,fault3,fault,nan,nan
452356.84,6782235.5,-6112.7705,0.6718531,0.22903445,0.7043838,fault4,fault4,fault,nan,nan
452574.47,6782159,-6264.5083,0.62380296,0.25717244,0.73805976,fault4,fault4,fault,nan,nan
452215.6,6782317,-5980.946,0.6730471,0.27008212,0.6885225,fault4,fault4,fault,nan,nan
452104.88,6782323,-5856.252,0.6349378,0.35699835,0.6851322,fault4,fault4,fault,nan,nan
452128.62,6782438,-6048.193,0.58455986,0.49273795,0.6445922,fault4,fault4,fault,nan,nan
451728.78,6782549.5,-5834.132,0.47974446,0.37066263,0.7952701,fault4,fault4,fault,nan,nan
452202.06,6782703,-6170.172,0.4548402,0.19331938,0.8693377,fault4,fault4,fault,nan,nan
452395.9,6782504,-6272.747,0.5652672,0.23515941,0.79067886,fault4,fault4,fault,nan,nan
452706.38,6782993,-6446.252,0.5721871,0.107766114,0.8130119,fault4,fault4,fault,nan,nan
451972.4,6782868.5,-6077.8076,0.8170535,0.055876397,0.57384795,fault4,fault4,fault,nan,nan
452592.88,6782810,-6420.5137,0.41616842,-0.004563898,0.90927607,fault4,fault4,fault,nan,nan
451738.03,6782920.5,-5929.3135,0.5115719,0.21549737,0.8317783,fault4,fault4,fault,nan,nan
452396.94,6783015,-6325.966,0.4246787,0.13618608,0.89504266,fault4,fault4,fault,nan,nan
452318.34,6783222,-6382.8623,0.46036294,0.19624689,0.8657674,fault4,fault4,fault,nan,nan
452068.66,6783459,-6195.9297,0.5260587,-0.37087435,0.7653199,fault4,fault4,fault,nan,nan
452757.94,6783537,-6546.6904,0.38432097,-0.37688288,0.84276724,fault4,fault4,fault,nan,nan
452515.03,6783531.5,-6461.5117,0.4171583,-0.37640405,0.8272236,fault4,fault4,fault,nan,nan
452597.88,6783679,-6383.4155,0.45571926,-0.44660938,0.76997405,fault4,fault4,fault,nan,nan
452160.62,6783819,-6012.1504,0.5664743,-0.5839473,0.58147424,fault4,fault4,fault,nan,nan
452717.9,6783898,-6397.4927,0.5020844,-0.42595786,0.7526428,fault4,fault4,fault,nan,nan
452322.1,6782459.5,-5575.0566,-0.13459288,0.07297747,0.98821,BCU,BCU,unconformity,nan,nan
451789.38,6782354.5,-5610.9487,-0.020766338,0.046108864,0.9987205,BCU,BCU,unconformity,nan,nan
451490.28,6782598,-5608.139,0.027991708,0.00090337,0.99960774,BCU,BCU,unconformity,nan,nan
453910.75,6782029.5,-5338.66,-0.0917763,-0.059763208,0.99398464,BCU,BCU,unconformity,nan,nan
452792.5,6782360.5,-5487.791,-0.16646,0.06488548,0.98391104,BCU,BCU,unconformity,nan,nan
454749.56,6782029.5,-5289.002,-0.028878257,-0.10000242,0.99456805,BCU,BCU,unconformity,nan,nan
455105.22,6782029.5,-5283.1973,-0.025607336,-0.109197095,0.9936902,BCU,BCU,unconformity,nan,nan
455494.25,6782029.5,-5270.877,-0.051370896,-0.12642808,0.9906447,BCU,BCU,unconformity,nan,nan
453414.03,6782385,-5386.407,-0.15092982,0.022354323,0.9882917,BCU,BCU,unconformity,nan,nan
455421.88,6782547,-5219.8975,-0.067591086,-0.06367102,0.9956794,BCU,BCU,unconformity,nan,nan
451582.97,6782930.5,-5617.874,0.012524919,0.03397763,0.9993441,BCU,BCU,unconformity,nan,nan
455963,6782618,-5166.078,-0.08923455,-0.0704631,0.9935151,BCU,BCU,unconformity,nan,nan
451819.38,6782676,-5615.172,-0.007658713,0.014826658,0.9998607,BCU,BCU,unconformity,nan,nan
453467.3,6782845,-5393.49,-0.17767005,0.04609335,0.98301005,BCU,BCU,unconformity,nan,nan
453732.75,6782737,-5343.1553,-0.15410492,0.015872844,0.98792696,BCU,BCU,unconformity,nan,nan
455313.3,6782983,-5211.3706,-0.07170614,-0.015526952,0.997305,BCU,BCU,unconformity,nan,nan
454486.2,6782890,-5250.1934,-0.06133606,-0.011282878,0.9980534,BCU,BCU,unconformity,nan,nan
454685.8,6783124,-5240.4565,-0.047770217,0.012983241,0.998774,BCU,BCU,unconformity,nan,nan
451664.66,6783550,-5648.939,-0.036723223,0.060083244,0.9975176,BCU,BCU,unconformity,nan,nan
451263.6,6783573.5,-5657.6875,-0.015936974,0.08018219,0.9966528,BCU,BCU,unconformity,nan,nan
453117.94,6783249,-5482.841,-0.17773612,0.053486217,0.9826236,BCU,BCU,unconformity,nan,nan
454091.97,6783222,-5294.9697,-0.15077569,0.03641249,0.98789716,BCU,BCU,unconformity,nan,nan
452576.88,6783459,-5579.65,-0.12996721,0.022108095,0.9912718,BCU,BCU,unconformity,nan,nan
454203.03,6783590,-5300.423,-0.13347282,0.06972682,0.98859656,BCU,BCU,unconformity,nan,nan
451703.66,6783978,-5662.5615,-0.06764671,0.029333431,0.99727803,BCU,BCU,unconformity,nan,nan
453443.75,6783979,-5456.6826,-0.18063636,0.046134952,0.98246735,BCU,BCU,unconformity,nan,nan
452565.3,6783979.5,-5582.091,-0.11402888,-0.020168591,0.9932727,BCU,BCU,unconformity,nan,nan
453803.97,6783978.5,-5394.244,-0.159628,0.07317609,0.98446137,BCU,BCU,unconformity,nan,nan
454309.84,6783979,-5324.286,-0.12314489,0.10823468,0.98646873,BCU,BCU,unconformity,nan,nan
455961.53,6783979.5,-5164.224,-0.08620751,0.03570286,0.99563724,BCU,BCU,unconformity,nan,nan
451304.1,6782096.5,-6379.891,-0.44060168,0.041036375,0.8967643,etive,A,stratigraphic,below,below
451248.88,6782467,-6438.086,-0.44697174,0.09223565,0.8897802,etive,A,stratigraphic,below,below
451402.38,6782630,-6377.634,-0.4658413,0.077674694,0.88145256,etive,A,stratigraphic,below,below
451962.47,6782643,-6079.9175,-0.2454243,0.24216837,0.93868065,etive,A,stratigraphic,below,below
451575.56,6782945,-6326.2354,-0.43453294,0.078571424,0.8972222,etive,A,stratigraphic,below,below
451315.3,6783487,-6452.1953,-0.41852573,0.015526923,0.90807223,etive,A,stratigraphic,below,below
451598.75,6783529.5,-6333.9443,-0.29235345,0.12584847,0.94799346,etive,A,stratigraphic,below,below
451471.72,6783620,-6394.657,-0.3166603,0.12223359,0.94063026,etive,A,stratigraphic,below,below
451373.94,6783926.5,-6606.303,-0.1892258,0.6801444,0.70823526,etive,A,stratigraphic,below,below
451701.94,6783891,-6405.1094,-0.36178017,0.38065866,0.8510077,etive,A,stratigraphic,below,below
453017.72,6782054.5,-6137.425,-0.35755196,0.11487796,0.9268007,etive,B,stratigraphic,below,above
454043.5,6782238,-5719.077,-0.44977993,-0.002756944,0.89313513,etive,B,stratigraphic,below,above
453906.78,6782100.5,-5804.58,-0.43901828,-0.038688347,0.89764476,etive,B,stratigraphic,below,above
454012.47,6782402,-5739.2935,-0.44796425,0.004079754,0.89404213,etive,B,stratigraphic,below,above
452702.56,6782623,-6314.6646,-0.3331748,0.07678611,0.9397332,etive,B,stratigraphic,below,above
454244.53,6782580.5,-5606.9307,-0.4898205,-0.06072997,0.86970556,etive,B,stratigraphic,below,above
453183.06,6782763,-6173.549,-0.31920698,0.13850147,0.9375096,etive,B,stratigraphic,below,above
453087.97,6783017,-6229.334,-0.30320993,0.111208454,0.9464124,etive,B,stratigraphic,below,above
454482.94,6782845.5,-5442.227,-0.51203007,-0.002527335,0.8589638,etive,B,stratigraphic,below,above
453029.56,6783342,-6288.9277,-0.30009177,0.038608298,0.9531287,etive,B,stratigraphic,below,above
453910,6783032,-5857.4595,-0.5203451,0.07360095,0.8507784,etive,B,stratigraphic,below,above
453435.38,6783079.5,-6105.031,-0.42977834,0.0763588,0.8996999,etive,B,stratigraphic,below,above
453952.16,6783174,-5829.4556,-0.5176894,0.035689145,0.85482395,etive,B,stratigraphic,below,above
453623.1,6783286,-6030.849,-0.46543628,0.05905292,0.88310915,etive,B,stratigraphic,below,above
453712.16,6783478.5,-5988.9043,-0.48186344,0.046665918,0.8750028,etive,B,stratigraphic,below,above
454012.56,6783519,-5812.2134,-0.5090927,0.12670575,0.8513344,etive,B,stratigraphic,below,above
453406.12,6783963,-6179.953,-0.39877743,0.10921543,0.91052103,etive,B,stratigraphic,below,above
452678.12,6783584.5,-6359.2188,-0.061835542,-0.05047717,0.9968091,etive,B,stratigraphic,below,above
454364.3,6783857.5,-5612.353,-0.58474684,0.08639546,0.8066021,etive,B,stratigraphic,below,above
455375.3,6782442,-5860.9404,-0.19990267,-0.054326743,0.9783085,etive,C,stratigraphic,above,above
455718.88,6782388,-5721.2803,-0.4835083,-0.23876178,0.8421476,etive,C,stratigraphic,above,above
455828.97,6782207,-5791.9053,-0.5062519,-0.37444407,0.776853,etive,C,stratigraphic,above,above
455508.44,6782603,-5818.3584,-0.3570567,0.022576975,0.9338098,etive,C,stratigraphic,above,above
455664.53,6782781,-5750.72,-0.42424613,0.09562542,0.9004837,etive,C,stratigraphic,above,above
455275.88,6783095.5,-5883.414,-0.16120467,0.01522339,0.9868036,etive,C,stratigraphic,above,above
455900.8,6782906.5,-5647.422,-0.43775842,0.10254183,0.8932261,etive,C,stratigraphic,above,above
455800.25,6783055,-5730.269,-0.46575615,0.052379847,0.8833615,etive,C,stratigraphic,above,above
455558.2,6783082,-5827.2324,-0.22448556,0.0545368,0.97295016,etive,C,stratigraphic,above,above
455929.22,6783205.5,-5670.8384,-0.39668232,0.05985756,0.9160023,etive,C,stratigraphic,above,above
455853.16,6782064,-5807.736,-0.49096787,-0.20539878,0.8466179,etive,C,stratigraphic,above,above
451488.84,6782070.5,-6029.546,-0.5019621,0.043433063,0.8637984,ness,A,stratigraphic,below,below
451709.88,6782070,-5889.612,-0.47541845,0.09130494,0.875009,ness,A,stratigraphic,below,below
451316.1,6782595.5,-6162.699,-0.42234322,0.11769917,0.89876205,ness,A,stratigraphic,below,below
451488,6782599.5,-6088.171,-0.41629177,0.11382455,0.9020782,ness,A,stratigraphic,below,below
451484.62,6782919.5,-6140.0312,-0.47629598,0.067384645,0.87669915,ness,A,stratigraphic,below,below
451338.84,6783234,-6221.0703,-0.48802626,-0.006489703,0.8728048,ness,A,stratigraphic,below,below
451593.25,6783164.5,-6042.6455,-0.64481467,-0.04709676,0.7628866,ness,A,stratigraphic,below,below
451553.62,6783541,-6089.2344,-0.52701575,0.064775035,0.84738344,ness,A,stratigraphic,below,below
451789.97,6783876,-6002.831,-0.4372517,0.14124654,0.8881781,ness,A,stratigraphic,below,below
451981.7,6783889.5,-5908.1094,-0.44651076,0.13747936,0.8841536,ness,A,stratigraphic,below,below
452761.03,6782012.5,-5974.7334,-0.3038981,0.066734165,0.9503644,ness,B,stratigraphic,below,above
453590.4,6782215,-5659.782,-0.35462973,0.04754256,0.93379736,ness,B,stratigraphic,below,above
453924.66,6782309,-5550.831,-0.36836067,0.016103419,0.9295435,ness,B,stratigraphic,below,above
453773.6,6782337,-5601.8774,-0.3322212,0.021734815,0.942951,ness,B,stratigraphic,below,above
453900.6,6782466,-5562.9004,-0.36669382,-0.066402696,0.9279689,ness,B,stratigraphic,below,above
454285.88,6782853,-5333.6855,-0.46891865,0.010755525,0.8831759,ness,B,stratigraphic,below,above
453927.62,6782693,-5510.118,-0.45090953,-0.03174585,0.89200497,ness,B,stratigraphic,below,above
453371.4,6782842,-5818.4004,-0.37333775,0.12126984,0.9197351,ness,B,stratigraphic,below,above
454136.62,6782786,-5432.167,-0.39591712,-0.07632011,0.9151092,ness,B,stratigraphic,below,above
453082.94,6783005,-5939.2993,-0.30899167,0.15846097,0.9377709,ness,B,stratigraphic,below,above
453547.38,6783137,-5780.8203,-0.41345796,0.18936637,0.8906138,ness,B,stratigraphic,below,above
454017.9,6783182,-5511.954,-0.39703116,0.2533148,0.88215524,ness,B,stratigraphic,below,above
453943.56,6783321,-5605.151,-0.5079862,0.22404605,0.83171713,ness,B,stratigraphic,below,above
452413.88,6783602,-6121.3994,-0.020263182,-0.24590543,0.969082,ness,B,stratigraphic,below,above
452231.7,6783541,-6131.3447,0.022806326,-0.20565817,0.9783581,ness,B,stratigraphic,below,above
452987.56,6783641,-6082.1826,-0.24284257,0.059664607,0.9682291,ness,B,stratigraphic,below,above
453443.53,6783921.5,-5914.5156,-0.39818788,-0.027477626,0.9168923,ness,B,stratigraphic,below,above
453084.06,6783938,-6040.434,-0.3216886,-0.023704497,0.94654876,ness,B,stratigraphic,below,above
455314.53,6782416.5,-5637.9707,-0.36499813,0.023348175,0.93071544,ness,C,stratigraphic,above,above
455105.5,6782763,-5702.283,-0.27996463,0.05391343,0.95849526,ness,C,stratigraphic,above,above
455151.7,6782937,-5709.176,-0.20867859,0.14489609,0.967191,ness,C,stratigraphic,above,above
455911.3,6783283,-5492.4854,-0.33936694,0.047880553,0.9394347,ness,C,stratigraphic,above,above
455381.84,6783008,-5669.674,-0.28962487,0.140016,0.94684374,ness,C,stratigraphic,above,above
455177,6783177,-5732.828,-0.22128423,-0.002993253,0.97520477,ness,C,stratigraphic,above,above
455530.56,6783400,-5610.494,-0.28630954,-0.06020206,0.956244,ness,C,stratigraphic,above,above
454722.5,6783572.5,-5843.742,-0.38437238,-0.01922508,0.9229779,ness,C,stratigraphic,above,above
454771.06,6783839,-5823.7573,-0.5865721,0.05741262,0.8078595,ness,C,stratigraphic,above,above
454916.72,6783827,-5708.0757,-0.4417106,-0.03989042,0.89627033,ness,C,stratigraphic,above,above
451399,6782036.5,-5795.1763,-0.23644948,0.09055809,0.96741456,tarbert,A,stratigraphic,below,below
451709.25,6782388,-5756.465,-0.048152175,0.05991627,0.99704134,tarbert,A,stratigraphic,below,below
451469.75,6782431.5,-5798.2817,-0.24883446,0.030139888,0.968077,tarbert,A,stratigraphic,below,below
451441.53,6782591,-5823.6294,-0.17983156,0.092473835,0.9793412,tarbert,A,stratigraphic,below,below
451462.88,6782992,-5805.667,-0.23968625,0.012112714,0.9707748,tarbert,A,stratigraphic,below,below
451590.06,6783155.5,-5779.744,-0.18863963,-0.012965762,0.98196083,tarbert,A,stratigraphic,below,below
451336.75,6783300,-5842.106,-0.2950041,0.003896694,0.955488,tarbert,A,stratigraphic,below,below
451664.5,6783475,-5764.392,-0.12768607,0.04298177,0.9908828,tarbert,A,stratigraphic,below,below
451500.5,6783631,-5801.481,-0.25929812,0.021666044,0.9655543,tarbert,A,stratigraphic,below,below
451957.78,6783914,-5761.34,-0.05363567,0.028892389,0.9981425,tarbert,A,stratigraphic,below,below
452690.75,6782126,-5807.2056,-0.3352599,0.09652679,0.93716776,tarbert,B,stratigraphic,below,above
453424.3,6782118,-5481.3896,-0.18924324,-0.10518056,0.9762807,tarbert,B,stratigraphic,below,above
452427.22,6782114,-5869.079,-0.1669719,0.15204321,0.974168,tarbert,B,stratigraphic,below,above
452873.22,6783037,-5746.2227,-0.31171176,0.039368916,0.9493608,tarbert,B,stratigraphic,below,above
453289.47,6782391,-5576.2324,-0.35057607,0.16887453,0.9211828,tarbert,B,stratigraphic,below,above
453127.97,6782591,-5667.6143,-0.336993,0.08591739,0.93757874,tarbert,B,stratigraphic,below,above
453883.12,6782289.5,-5396.1846,-0.23799014,-0.20325384,0.94976234,tarbert,B,stratigraphic,below,above
452759.7,6782632.5,-5783.5127,-0.41883427,-0.015266725,0.9079343,tarbert,B,stratigraphic,below,above
452524.2,6782839.5,-5871.2217,-0.31988785,-0.057166174,0.94572926,tarbert,B,stratigraphic,below,above
454123.2,6783092.5,-5384.163,-0.17477202,0.05127279,0.983273,tarbert,B,stratigraphic,below,above
453105.6,6783025.5,-5690.423,-0.2895542,0.038190443,0.9563994,tarbert,B,stratigraphic,below,above
452256.97,6783245,-5935.7446,-0.19412163,-0.03029173,0.98050964,tarbert,B,stratigraphic,below,above
453453.9,6783238.5,-5582.3594,-0.33420774,0.07012347,0.93988717,tarbert,B,stratigraphic,below,above
453355.78,6783439.5,-5631.412,-0.3321813,0.07282856,0.9403997,tarbert,B,stratigraphic,below,above
453070.12,6783613,-5741.871,-0.30940914,-0.033111267,0.9503524,tarbert,B,stratigraphic,below,above
452302.16,6783615,-5904.866,-0.090275444,-0.049479768,0.9946869,tarbert,B,stratigraphic,below,above
453584.75,6783712,-5529.9907,-0.458723,0.07806911,0.88514316,tarbert,B,stratigraphic,below,above
454215.47,6783903,-5432.5874,-0.16146027,0.03763774,0.98616123,tarbert,B,stratigraphic,below,above
453563.9,6783841,-5598.2764,-0.4090191,0.06252383,0.9103813,tarbert,B,stratigraphic,below,above
455107.03,6783364.5,-5570.2495,-0.22194341,-0.13996412,0.9649617,tarbert,C,stratigraphic,above,above
454784.6,6782555,-5569.212,0.010453232,0.07220087,0.9973353,tarbert,C,stratigraphic,above,above
455207.53,6782268.5,-5559.538,-0.09445687,0.003278962,0.9955235,tarbert,C,stratigraphic,above,above
455753.1,6782065.5,-5452.4917,-0.21890195,0.06584169,0.9735229,tarbert,C,stratigraphic,above,above
455255.9,6782475,-5523.461,-0.2145675,-0.07837421,0.9735596,tarbert,C,stratigraphic,above,above
455579.62,6782443,-5458.338,-0.23776647,-0.21542752,0.9471315,tarbert,C,stratigraphic,above,above
455194.47,6782693,-5550.796,-0.3108119,0.081520915,0.946969,tarbert,C,stratigraphic,above,above
455433.34,6782839,-5518.4688,-0.18595031,0.1700492,0.96773225,tarbert,C,stratigraphic,above,above
455802.94,6783036.5,-5462.9497,-0.24135128,0.047562957,0.96927154,tarbert,C,stratigraphic,above,above
455343.66,6783229,-5548.4756,-0.26178923,-0.15142994,0.9531712,tarbert,C,stratigraphic,above,above
